0081809,NORTHLAND
0133423,WAITEMATA
0133505,NORTHLAND
0147216,WAITEMATA
0147309,NORTHLAND
0147315,WAITEMATA
0147319,WAITEMATA
0359702,WAITEMATA
0367200,AUCKLAND CITY
0367900,AUCKLAND CITY
0370900,AUCKLAND CITY
0371001,AUCKLAND CITY
0371700,AUCKLAND CITY
0440111,AUCKLAND CITY
0440117,AUCKLAND CITY
0608306,WAITEMATA
0608341,WAITEMATA
0608343,COUNTIES/MANUKAU
0608361,AUCKLAND CITY
0622400,AUCKLAND CITY
0634307,COUNTIES/MANUKAU
0634334,COUNTIES/MANUKAU
0634345,COUNTIES/MANUKAU
0634347,COUNTIES/MANUKAU
0634380,AUCKLAND CITY
0637300,COUNTIES/MANUKAU
0639500,COUNTIES/MANUKAU
0843400,COUNTIES/MANUKAU
0843500,COUNTIES/MANUKAU
0844100,COUNTIES/MANUKAU
0846601,COUNTIES/MANUKAU
0932801,WAIKATO
0934900,WAIKATO
1016002,CENTRAL
1016101,WAIKATO
1016600,CENTRAL
1016900,CENTRAL
1026302,BAY OF PLENTY
1028700,CENTRAL
1028802,BAY OF PLENTY
1029001,CENTRAL
1029002,BAY OF PLENTY
1039300,CENTRAL
1039400,CENTRAL
1039501,WAIKATO
1039503,BAY OF PLENTY
1041800,CENTRAL
1042000,CENTRAL
1084601,WAIKATO
1113200,WAIKATO
1113500,WAIKATO
1114901,BAY OF PLENTY
1116701,WAIKATO
1116702,BAY OF PLENTY
1123500,WAIKATO
1123900,WAIKATO
1124002,BAY OF PLENTY
1125302,WAIKATO
1181500,WAIKATO
1182300,BAY OF PLENTY
1184900,BAY OF PLENTY
1185300,BAY OF PLENTY
1189302,BAY OF PLENTY
1281004,EASTERN
1289106,BAY OF PLENTY
1289108,BAY OF PLENTY
1289109,CENTRAL
1332200,BAY OF PLENTY
1333002,BAY OF PLENTY
1333400,BAY OF PLENTY
1353001,EASTERN
1387900,EASTERN
1393501,EASTERN
1412000,EASTERN
1515901,EASTERN
1515904,CENTRAL
1527802,CENTRAL
1534201,EASTERN
1534202,CENTRAL
1535600,CENTRAL
1540000,EASTERN
1587918,CENTRAL
1744801,CENTRAL
1744802,CENTRAL
1859402,CENTRAL
1874206,WELLINGTON
1883102,CENTRAL
1883807,WELLINGTON
1885100,WELLINGTON
2072705,CENTRAL
2072706,WELLINGTON
2137317,WELLINGTON
2224906,WELLINGTON
2225002,CENTRAL
2226500,CENTRAL
2254500,WELLINGTON
2308204,TASMAN
2310702,CANTERBURY
2311200,CANTERBURY
2414802,TASMAN
2416404,TASMAN
2417900,TASMAN
2418500,TASMAN
2422900,TASMAN
2426501,CANTERBURY
2428402,CANTERBURY
2460900,CANTERBURY
2461100,CANTERBURY
2825300,CANTERBURY
2825502,CANTERBURY
2827000,SOUTHERN
2848900,SOUTHERN
2849401,SOUTHERN
2851300,SOUTHERN
2851401,SOUTHERN
2851402,SOUTHERN
3027500,SOUTHERN
3038701,SOUTHERN
3175700,SOUTHERN
2947200,SOUTHERN
2407300,TASMAN
2123500,WELLINGTON
1592600,CENTRAL
0955000,WAIKATO
0138900,WAITEMATA
0069603,NORTHLAND
2785500,CANTERBURY
2746000,CANTERBURY
1989400,WELLINGTON
1985402,WELLINGTON
0232203,WAITEMATA
1132400,BAY OF PLENTY
0505700,AUCKLAND CITY
0389602,AUCKLAND CITY
0210302,WAITEMATA
3144100,SOUTHERN
3130200,SOUTHERN
2906400,SOUTHERN
2377903,TASMAN
1381500,EASTERN
3111300,SOUTHERN
1893501,WELLINGTON
1859500,CENTRAL
1567100,CENTRAL
1406400,EASTERN
1187001,BAY OF PLENTY
1001101,WAIKATO
0878602,WAIKATO
0868200,WAIKATO
0688700,COUNTIES/MANUKAU
0449600,AUCKLAND CITY
1583201,CENTRAL
1143600,BAY OF PLENTY
0885900,WAIKATO
0814403,COUNTIES/MANUKAU
0538600,AUCKLAND CITY
0152900,WAITEMATA
0089203,NORTHLAND
1943101,WELLINGTON
0378902,AUCKLAND CITY
0213100,WAITEMATA
2849902,SOUTHERN
2186400,WELLINGTON
1548700,CENTRAL
0681312,COUNTIES/MANUKAU
3125700,SOUTHERN
2794400,CANTERBURY
1253908,BAY OF PLENTY
1153401,BAY OF PLENTY
0413000,AUCKLAND CITY
3128600,SOUTHERN
1586100,CENTRAL
1489900,EASTERN
0603700,AUCKLAND CITY
3069800,SOUTHERN
2719222,CANTERBURY
2316001,TASMAN
1724300,CENTRAL
1059627,WAIKATO
0408200,AUCKLAND CITY
0236709,WAITEMATA
0165606,WAITEMATA
0159501,WAITEMATA
1988000,WELLINGTON
1312200,BAY OF PLENTY
1045411,WAIKATO
1006800,WAIKATO
0527700,AUCKLAND CITY
2517800,CANTERBURY
1183808,BAY OF PLENTY
0822300,COUNTIES/MANUKAU
0700500,COUNTIES/MANUKAU
0020401,NORTHLAND
0406000,AUCKLAND CITY
1381400,EASTERN
1169700,BAY OF PLENTY
1028300,CENTRAL
0698600,COUNTIES/MANUKAU
2959500,SOUTHERN
2366600,TASMAN
0955300,WAIKATO
2701600,CANTERBURY
2562103,CANTERBURY
1192112,BAY OF PLENTY
